X,Y
631,-1256.766779
632,-1256.435248
633,-1261.95416
634,-1263.226683
635,-1265.772972
636,-1266.950332
637,-1268.32
638,-1270.633839
639,-1272.395228
640,-1276.789127
641,-1275.042145
642,-1280.337907
643,-1279.768749
644,-1282.690826
645,-1284.821757
646,-1287.207634
647,-1288.370304
648,-1290.384074
649,-1292.465037
650,-1294.223719
651,-1297.451329
652,-1300.449404
653,-1300.568357
654,-1303.27266
655,-1305.792104
656,-1304.750532
657,-1308.36881
658,-1311.610896
659,-1312.2984
660,-1313.948982
661,-1317.509505
662,-1319.570094
663,-1321.976981
664,-1323.884113
665,-1326.374136
666,-1326.73076
667,-1330.926078
668,-1332.261383
669,-1332.347968
670,-1334.946404
671,-1336.346829
672,-1338.241478
673,-1341.697328
674,-1343.47228
675,-1346.758677
676,-1348.128692
677,-1348.52551
678,-1352.320535
679,-1351.8319
680,-1352.681572
681,-1355.469939
682,-1359.506073
683,-1361.428665
684,-1363.61193
685,-1363.75863
686,-1366.714549
687,-1366.801843
688,-1370.430685
689,-1372.569599
690,-1376.187463
691,-1375.898029
692,-1378.603897
693,-1381.733062
694,-1382.306928
695,-1384.896472
696,-1388.413348
697,-1389.444777
698,-1390.635404
699,-1393.072918
700,-1394.844922
701,-1395.644635
702,-1399.951868
703,-1401.957456
704,-1402.930404
705,-1404.737278
706,-1406.586692
707,-1408.211526
708,-1412.850959
709,-1414.058459
710,-1416.707362
711,-1417.584968
712,-1418.591497
713,-1420.011155
714,-1422.256786
715,-1426.634476
716,-1428.629475
717,-1430.502212
718,-1430.812566
719,-1433.255066
720,-1436.352721
721,-1436.741895
722,-1438.611541
723,-1440.332115
724,-1443.136563
725,-1447.075326
726,-1447.891067
727,-1449.159585
728,-1452.324347
729,-1453.687315
730,-1456.150592
731,-1457.035175
732,-1457.362233
733,-1460.973367
734,-1463.154688
735,-1466.691829
736,-1466.839491
737,-1469.49774
738,-1472.474904
739,-1474.563338
740,-1474.403342
741,-1476.65901
742,-1478.089781
743,-1481.506291
744,-1481.246738
745,-1485.228455
746,-1486.045785
747,-1489.97119
748,-1490.841215
749,-1491.502019
750,-1494.345734
751,-1497.474339
752,-1498.108309
753,-1500.84169
754,-1502.274003
755,-1505.66019
756,-1506.677269
757,-1508.205658
758,-1511.382625
759,-1513.009068
760,-1514.451241
761,-1516.237614
762,-1520.372721
763,-1524.253433
764,-1524.959899
765,-1524.715267
766,-1526.746938
767,-1527.462824
768,-1530.575613
769,-1532.808495
770,-1536.496059
771,-1536.73503
772,-1537.974975
773,-1541.694256
774,-1541.600963
775,-1544.96901
776,-1546.621996
777,-1550.487757
778,-1550.604371
779,-1553.236018
780,-1553.014125
781,-1555.770128
782,-1560.22904
783,-1560.742565
784,-1560.346051
785,-1565.288594
786,-1566.658713
787,-1567.975633
788,-1568.558651
789,-1574.487654
790,-1573.276556
791,-1575.59068
792,-1578.379945
793,-1579.923494
794,-1583.69123
795,-1584.852075
796,-1587.829688
797,-1589.021639
798,-1590.293141
799,-1592.194636
800,-1594.916801
801,-1595.474131
802,-1599.609399
803,-1600.473818
804,-1603.215965
805,-1604.602075
806,-1608.456653
807,-1609.919012
808,-1609.923861
809,-1611.065922
810,-1613.741314
811,-1617.33825
812,-1619.165958
813,-1621.914071
814,-1623.429867
815,-1624.24514
816,-1628.084386
817,-1628.144333
818,-1632.462831
819,-1632.748321
820,-1637.083654
821,-1636.573888
822,-1639.838008
823,-1641.857272
824,-1643.01414
825,-1644.201456
826,-1645.949462
827,-1650.857781
828,-1650.484626
829,-1653.993187
830,-1654.465382
831,-1654.828193
832,-1658.21826
833,-1661.548086
834,-1662.896824
835,-1664.345982
836,-1667.371805
837,-1667.432991
838,-1670.95967
839,-1672.200169
840,-1674.779458
841,-1676.26962
842,-1679.961241
843,-1681.700081
844,-1684.13666
845,-1685.422074
846,-1685.395396
847,-1687.224813
848,-1691.609568
849,-1693.780305
850,-1694.110117
851,-1697.33681
852,-1698.375263
853,-1700.073293
854,-1703.215469
855,-1706.255504
856,-1707.481319
857,-1708.098781
858,-1710.857877
859,-1713.427312
860,-1714.646438
861,-1716.451728
862,-1718.978896
863,-1720.045657
864,-1725.008111
865,-1726.739135
866,-1727.406339
867,-1728.49968
868,-1730.754799
869,-1731.997773
870,-1734.114148
871,-1737.400878
872,-1739.542547
873,-1739.488259
874,-1743.361941
875,-1744.661009
876,-1746.850824
877,-1749.342579
878,-1749.824611
879,-1754.417541
880,-1754.701173
881,-1756.203936
882,-1758.553088
883,-1760.317746
884,-1761.860889
885,-1764.72723
886,-1766.620818
887,-1767.359774
888,-1770.025239
889,-1773.247283
890,-1774.749489
891,-1776.761343
892,-1778.210219
893,-1779.970555
894,-1782.494647
895,-1786.337168
896,-1786.625694
897,-1788.766018
898,-1789.624437
899,-1792.142621
900,-1795.141792
901,-1795.82367
902,-1799.760484
903,-1801.14603
904,-1802.915277
905,-1804.838792
906,-1807.89451
907,-1808.54893
908,-1811.505457
909,-1811.743997
910,-1816.916959
911,-1818.184612
912,-1819.43745
913,-1821.167137
914,-1822.455403
915,-1826.30002
916,-1827.068317
917,-1827.574859
918,-1831.417818
919,-1833.072607
920,-1837.160251
921,-1836.430394
922,-1839.73514
923,-1840.658103
924,-1843.24223
925,-1845.598885
926,-1846.819068
927,-1849.58113
928,-1851.621377
929,-1852.615583
930,-1855.018217
931,-1857.696712
932,-1858.409544
933,-1861.184913
934,-1862.911339
935,-1864.146395
936,-1867.876912
937,-1869.107961
938,-1870.491627
939,-1872.419715
940,-1873.757868
941,-1877.748621
942,-1878.33252
943,-1881.092271
944,-1884.941287
945,-1885.304059
946,-1888.670848
947,-1888.852612
948,-1892.001924
949,-1893.357596
950,-1896.499586
951,-1897.716795
952,-1898.640836
953,-1899.764019
954,-1903.173901
955,-1905.72568
956,-1907.008795
957,-1909.269657
958,-1909.16484
959,-1913.704288
960,-1916.540488
961,-1917.34111
962,-1918.764067
963,-1920.049069
964,-1923.618255
965,-1924.60673
966,-1926.211745
967,-1929.93433
968,-1931.665833
969,-1934.682583
970,-1934.525069
971,-1938.503182
972,-1939.315755
973,-1941.448788
974,-1943.028421
975,-1946.034771
976,-1947.812253
977,-1949.651546
978,-1950.449314
979,-1952.438261
980,-1955.838711
981,-1955.735232
982,-1959.686024
983,-1961.216524
984,-1961.81148
985,-1963.186034
986,-1967.828587
987,-1969.134189
988,-1971.564839
989,-1974.199932
990,-1976.217057
991,-1975.729337
992,-1980.016804
993,-1980.549278
994,-1983.017119
995,-1983.179896
996,-1986.013941
997,-1989.056566
998,-1991.353154
999,-1992.894335
1000,-1994.603119
